Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter,mpact Parameter Upper,Impact Parameter Lower,Transit Duration Upper,Transit Depth Upper,Planetary Radius Lower,Equilibrium Temperature,Insolation Flux Lower ,TCE Planet Number,Stellar Effective Temperature,Stellar Effective Temperature Upper,Stellar Radius,Disposition Using Kepler Data
1.0,0,0,0,0,0.146,0.318,-0.146,0.0819,19.5,-0.15,793.0,-16.65,1.0,5455.0,81.0,0.927,0
0.969,0,0,0,0,0.586,0.059,-0.443,0.116,35.5,-0.19,443.0,-1.62,2.0,5455.0,81.0,0.927,0
0.0,0,0,0,0,0.969,5.126,-0.077,0.0341,171.0,-1.31,638.0,-10.49,1.0,5853.0,158.0,0.868,0
0.0,0,1,0,0,1.276,0.115,-0.092,0.00537,12.8,-2.83,1395.0,-230.35,1.0,5805.0,157.0,0.791,1
1.0,0,0,0,0,0.701,0.235,-0.478,0.042,16.9,-0.35,1406.0,-314.24,1.0,6031.0,169.0,1.046,0
1.0,0,0,0,0,0.538,0.03,-0.428,0.061,24.2,-0.42,835.0,-36.7,1.0,6046.0,189.0,0.972,0
1.0,0,0,0,0,0.762,0.139,-0.532,0.0673,18.7,-0.3,1160.0,-136.7,2.0,6046.0,189.0,0.972,0
0.992,0,0,0,0,0.755,0.212,-0.523,0.165,16.8,-0.17,1360.0,-258.2,3.0,6046.0,189.0,0.972,0
0.0,0,1,1,0,1.169,7.133,-0.044,0.136,5.8,-9.67,1342.0,-365.49,1.0,6227.0,111.0,1.958,1
1.0,0,0,0,0,0.052,0.262,-0.052,0.0241,33.3,-0.49,600.0,-6.66,1.0,5031.0,75.0,0.848,0
0.811,0,0,0,0,0.818,0.001,-0.001,0.00107,4.2,-0.51,1339.0,-95.76,1.0,5820.0,78.0,0.964,0
1.0,0,1,0,0,0.224,0.159,-0.216,0.00203,1.7,-0.91,2048.0,-654.46,1.0,6440.0,76.0,1.952,0
0.998,0,0,0,0,0.631,0.007,-0.007,0.00653,6.6,-1.11,1521.0,-276.48,1.0,6225.0,112.0,1.451,0
1.0,0,0,0,0,0.051,0.395,-0.051,0.0427,3.0,-0.12,1206.0,-130.54,2.0,5833.0,105.0,1.022,0
0.0,0,1,0,0,2.483,2.851,-0.673,0.0114,31.9,-13.3,753.0,-19.99,1.0,5795.0,155.0,0.848,1
0.0,0,1,0,0,0.804,0.007,-0.005,0.0598,53.3,-0.68,523.0,-4.88,1.0,5043.0,151.0,0.68,1
0.0,0,1,0,0,1.065,0.031,-0.034,0.00235,21.9,-5.0,698.0,-16.4,1.0,6117.0,182.0,0.947,1
0.0,0,1,0,0,0.292,0.118,-0.101,0.06,39.9,-0.89,595.0,-8.91,1.0,5152.0,168.0,0.786,1
1.0,0,0,0,0,0.387,0.004,-0.386,0.0309,16.8,-0.24,649.0,-11.7,1.0,4856.0,131.0,0.696,0
1.0,0,0,0,0,0.258,0.196,-0.258,0.0311,34.4,-0.15,678.0,-9.88,1.0,4537.0,123.0,0.672,0
0.0,0,1,1,1,0.044,0.36,-0.044,0.0686,9.5,-0.16,1066.0,-86.33,1.0,4989.0,149.0,0.819,1
1.0,0,0,0,0,0.092,0.369,-0.092,0.0471,14.8,-0.24,919.0,-38.48,1.0,5185.0,85.0,0.91,0
