Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter Lower,Planetary Radius,Stellar Effective Temperature,Stellar Surface Gravity Lower,Disposition Using Kepler Data
1.0,0,0,0,0,-0.146,2.26,5455.0,-0.096,0
0.969,0,0,0,0,-0.443,2.83,5455.0,-0.096,0
0.0,0,0,0,0,-0.077,14.6,5853.0,-0.176,0
0.0,0,1,0,0,-0.092,33.46,5805.0,-0.168,1
1.0,0,0,0,0,-0.478,2.75,6031.0,-0.21,0
1.0,0,0,0,0,-0.428,3.9,6046.0,-0.229,0
1.0,0,0,0,0,-0.532,2.77,6046.0,-0.229,0
0.992,0,0,0,0,-0.523,1.59,6046.0,-0.229,0
0.0,0,1,1,0,-0.044,39.21,6227.0,-0.098,1
1.0,0,0,0,0,-0.052,5.76,5031.0,-0.028,0
0.811,0,0,0,0,-0.001,13.04,5820.0,-0.024,0
1.0,0,1,0,0,-0.216,16.1,6440.0,-0.027,0
0.998,0,0,0,0,-0.007,14.59,6225.0,-0.045,0
1.0,0,0,0,0,-0.051,1.16,5833.0,-0.114,0
0.0,0,1,0,0,-0.673,150.51,5795.0,-0.176,1
0.0,0,1,0,0,-0.005,7.18,5043.0,-0.048,1
0.0,0,1,0,0,-0.034,49.29,6117.0,-0.208,1
0.0,0,1,0,0,-0.101,7.94,5152.0,-0.072,1
1.0,0,0,0,0,-0.386,2.47,4856.0,-0.035,0
1.0,0,0,0,0,-0.258,2.85,4537.0,-0.056,0
0.0,0,1,1,1,-0.044,1.58,4989.0,-0.06,1
1.0,0,0,0,0,-0.092,2.55,5185.0,-0.045,0
0.98,0,0,0,0,-0.226,1.7,5185.0,-0.045,0
0.971,0,0,0,0,-0.025,1.3,5185.0,-0.045,0
0.5294527603540793,0,1,0,0,-0.0268,41.5,5543.0,-0.014,1
1.0,0,0,0,0,-0.663,2.95,4954.0,-0.02,0
1.0,0,0,0,0,-0.533,2.78,5339.0,-0.136,0
1.0,0,0,0,0,-0.356,2.3,5644.0,-0.168,0
0.0,0,0,1,0,-0.125,4.53,5714.0,-0.16,1
0.0,0,1,1,0,-0.005,14.14,5520.0,-0.12,1
0.0,0,1,0,0,-0.067,39.87,6144.0,-0.217,1
1.0,0,0,0,0,-0.267,2.82,5481.0,-0.099,0
0.992,0,0,0,0,-0.045,3.86,5031.0,-0.028,0
1.0,0,0,0,0,-0.105,2.65,5031.0,-0.028,0
1.0,0,0,0,0,-0.551,3.1,5015.0,-0.115,0
1.0,0,0,0,0,-0.021,3.36,5586.0,-0.15,0
0.978,0,0,0,0,-0.4,2.12,5586.0,-0.15,0
1.0,0,0,0,0,-0.004,12.21,5712.0,-0.11,0
0.0,0,1,1,0,-0.059,6.54,5550.0,-0.169,1
1.0,0,0,0,0,-0.312,2.1,6075.0,-0.208,0
0.0,0,1,0,0,-0.02,12.42,6074.0,-0.21,1
1.0,0,0,0,0,-0.565,2.94,5779.0,-0.108,0
0.998,0,0,0,0,-0.355,5.5,5468.0,-0.187,0
1.0,0,0,0,0,-0.023,2.52,5592.0,-0.144,0
1.0,0,0,0,0,-0.367,4.43,6174.0,-0.21,0
1.0,0,0,0,0,-0.119,12.21,5532.0,-0.108,0
0.0,0,1,1,0,-0.009,7.34,5040.0,-0.07,1
1.0,0,0,0,0,-0.151,1.89,5880.0,-0.196,0
1.0,0,0,0,0,-0.405,3.25,5714.0,-0.117,0
1.0,0,0,0,0,-0.656,3.95,5714.0,-0.117,0
1.0,0,0,0,0,-0.396,3.07,5129.0,-0.084,0
