Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Transit Depth Upper,Insolation Flux Lower ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,19.5,-16.65,0.105,0
0.969,0,0,0,0,35.5,-1.62,0.105,0
0.0,0,0,0,0,171.0,-10.49,0.233,0
0.0,0,1,0,0,12.8,-230.35,0.201,1
1.0,0,0,0,0,16.9,-314.24,0.334,0
1.0,0,0,0,0,24.2,-36.7,0.315,0
1.0,0,0,0,0,18.7,-136.7,0.315,0
0.992,0,0,0,0,16.8,-258.2,0.315,0
0.0,0,1,1,0,5.8,-365.49,0.322,1
1.0,0,0,0,0,33.3,-6.66,0.033,0
0.811,0,0,0,0,4.2,-95.76,0.038,0
1.0,0,1,0,0,1.7,-654.46,0.099,0
0.998,0,0,0,0,6.6,-276.48,0.11,0
1.0,0,0,0,0,3.0,-130.54,0.143,0
0.0,0,1,0,0,31.9,-19.99,0.224,1
0.0,0,1,0,0,53.3,-4.88,0.072,1
0.0,0,1,0,0,21.9,-16.4,0.308,1
0.0,0,1,0,0,39.9,-8.91,0.088,1
1.0,0,0,0,0,16.8,-11.7,0.056,0
1.0,0,0,0,0,34.4,-9.88,0.062,0
0.0,0,1,1,1,9.5,-86.33,0.067,1
1.0,0,0,0,0,14.8,-38.48,0.057,0
0.98,0,0,0,0,13.9,-57.65,0.057,0
0.971,0,0,0,0,16.8,-22.09,0.057,0
0.5294527603540793,0,1,0,0,45.8,-0.24,0.064,1
1.0,0,0,0,0,27.1,-3.8,0.032,0
1.0,0,0,0,0,39.7,-42.14,0.161,0
1.0,0,0,0,0,14.1,-63.32,0.207,0
0.0,0,0,1,0,18.3,-292.26,0.186,1
0.0,0,1,1,0,33.5,-0.06,0.148,1
0.0,0,1,0,0,70.6,-5.51,0.35,1
1.0,0,0,0,0,23.4,-4.93,0.138,0
0.992,0,0,0,0,45.5,-1.9,0.033,0
1.0,0,0,0,0,24.5,-23.44,0.033,0
1.0,0,0,0,0,39.4,-8.24,0.091,0
1.0,0,0,0,0,25.4,-4.18,0.181,0
0.978,0,0,0,0,36.2,-1.06,0.181,0
1.0,0,0,0,0,20.0,-93.21,0.173,0
0.0,0,1,1,0,20.9,-166.35,0.228,1
1.0,0,0,0,0,17.5,-117.4,0.3,0
0.0,0,1,0,0,27.7,-23.51,0.336,1
1.0,0,0,0,0,4.0,-102.18,0.157,0
0.998,0,0,0,0,22.6,-6.64,0.297,0
1.0,0,0,0,0,28.2,-24.15,0.169,0
1.0,0,0,0,0,13.3,-188.14,0.358,0
1.0,0,0,0,0,11.0,-97.95,0.127,0
0.0,0,1,1,0,44.3,-2.06,0.086,1
1.0,0,0,0,0,13.8,-123.32,0.262,0
1.0,0,0,0,0,15.2,-68.33,0.148,0
1.0,0,0,0,0,29.7,-19.39,0.148,0
1.0,0,0,0,0,36.3,-3.21,0.103,0
1.0,0,0,0,0,6.3,-22.92,0.154,0
1.0,0,0,0,0,4.4,-70.6,0.157,0
0.014,0,1,0,0,37.8,-61.76,0.301,1
1.0,0,0,0,0,42.0,-1.35,0.027,0
1.0,0,0,0,0,37.7,-3.59,0.027,0
1.0,0,0,0,0,53.4,-0.47,0.027,0
1.0,0,0,0,0,18.5,-65.21,0.164,0
0.999,0,0,0,0,230.0,-3.57,0.116,0
1.0,0,0,0,0,25.6,-20.32,0.03,0
0.0,0,1,0,0,22.4,-45.01,0.241,1
1.0,0,0,0,0,13.7,-40.17,0.055,0
0.993,0,0,0,0,44.1,-8.86,0.055,0
0.871,0,0,0,0,3.4,-186.88,0.157,0
1.0,0,0,0,0,46.3,-1.63,0.037,0
1.0,0,0,0,0,14.9,-91.63,0.28,0
1.0,0,0,0,0,11.5,-28.97,0.187,0
1.0,0,0,0,0,35.3,-1.06,0.03,0
1.0,0,0,0,0,39.2,-2.5,0.03,0
1.0,0,0,0,0,29.1,-12.97,0.152,0
0.998,0,0,0,0,7.7,-4.8,0.154,0
0.0,0,1,1,0,21.3,-70.67,0.133,1
0.773,0,0,1,0,19.0,-486.6,0.27,1
1.0,0,0,0,0,14.5,-309.76,0.353,0
1.0,0,0,0,0,19.5,-84.01,0.353,0
0.6733926317490925,0,0,0,1,51.9,-14.34,0.333,1
1.0,0,0,0,0,26.7,-19.3,0.113,0
0.989,0,0,0,0,49.6,-1.4,0.113,0
1.0,0,0,0,0,27.6,-21.39,0.273,0
0.0,0,1,0,0,20.4,-1136.62,0.23,1
0.0,0,1,1,0,26.4,-46.77,0.319,1
1.0,0,0,0,0,11.4,-212.44,0.154,0
1.0,0,0,0,0,29.7,-21.24,0.112,0
0.0,0,1,1,1,45.9,-599.58,0.08,1
1.0,0,0,0,0,53.2,-28.91,0.234,0
1.0,0,0,0,0,45.1,-0.9,0.033,0
1.0,0,0,0,0,56.4,-0.3,0.033,0
0.952,0,0,0,0,6.5,-10.73,0.154,0
0.994,0,0,0,0,36.4,-3.19,0.033,0
1.0,0,0,0,0,29.5,-64.19,0.161,0
0.999,0,0,0,0,35.1,-4.56,0.122,0
1.0,0,0,0,0,11.8,-452.24,0.161,0
1.0,0,0,0,0,85.0,-7.31,0.121,0
0.0,1,0,1,0,28.2,-31.91,0.194,1
1.0,0,0,0,0,21.9,-22.28,0.141,0
0.053,0,1,0,0,31.8,-48.58,0.28,1
1.0,0,0,0,0,82.4,-0.35,0.079,0
0.95,0,0,0,0,4.3,-65.57,0.154,0
0.745,0,0,0,0,64.0,-1.09,0.079,0
1.292882983041325,0,0,0,0,43.5,-2.68,0.092,0
0.0,0,0,1,1,25.7,-306.98,0.265,1
0.0,0,0,1,1,14.1,-45.45,0.042,1
1.0,0,0,0,0,20.3,-412.98,0.244,0
1.0,0,0,0,0,16.6,-35.12,0.111,0
1.0,0,0,0,0,31.0,-4.61,0.063,0
1.0,0,0,0,0,26.6,-9.92,0.033,0
0.0,0,1,1,0,24.7,-230.11,0.297,1
1.0,0,0,0,0,20.9,-12.26,0.161,0
1.0,0,0,0,0,2.9,-66.83,0.063,0
0.998,0,0,0,0,16.2,-29.09,0.161,0
1.0,0,0,0,0,26.8,-4.66,0.161,0
0.99,0,0,0,0,13.1,-29.54,0.062,0
1.0,0,0,0,0,82.5,-5.08,0.196,0
1.0,0,0,0,0,25.7,-63.82,0.334,0
1.0,0,0,0,0,46.1,-0.64,0.03,0
0.995,0,0,0,0,57.5,-2.65,0.03,0
1.0,0,0,0,0,32.0,-2.31,0.035,0
0.0,0,1,0,0,83.3,-3.91,0.179,1
0.0,0,0,0,0,11.7,-124.0,0.159,0
0.0,0,1,1,1,5.3,-62.76,0.188,1
0.992,0,0,0,0,4.2,-15.39,0.063,0
1.0,0,0,0,0,35.8,-13.85,0.269,0
0.0,0,1,0,0,49.8,-26.78,0.195,1
0.789972056671793,0,0,0,0,127.0,-1109.02,0.377,0
1.0,0,0,0,0,114.0,-5.99,0.033,0
1.0,0,0,0,0,24.5,-14.35,0.062,0
1.0,0,0,0,0,22.0,-29.57,0.062,0
1.0,0,0,0,0,13.1,-40.81,0.212,0
0.037,0,0,1,0,23.5,-90.93,0.341,1
0.0,0,0,1,1,12.7,-162.49,0.227,1
1.0,0,0,0,0,25.8,-76.86,0.071,0
1.0,0,0,0,0,39.0,-4.63,0.08,0
0.998,0,0,0,0,3.7,-35.07,0.063,0
1.0,0,0,0,0,48.4,-1.79,0.08,0
0.006,0,1,0,0,62.1,-97.69,0.26,1
0.0,0,1,0,0,32.8,-27.73,0.189,1
0.0,0,1,0,0,25.2,-106.59,0.247,1
0.999,0,0,0,0,13.2,-26.59,0.242,0
0.996,0,0,0,0,10.8,-57.65,0.242,0
0.997,0,0,0,0,8.6,-159.95,0.242,0
1.0,0,0,0,0,6.4,-675.28,0.242,0
0.995,0,0,0,0,2.7,-119.09,0.063,0
0.989,0,0,0,0,20.1,-9.68,0.242,0
1.0,0,0,0,0,23.9,-4.84,0.054,0
0.878,0,0,0,0,44.9,-0.6,0.054,0
0.0,0,1,1,1,29.9,-67.02,0.054,1
1.0,0,0,0,0,25.3,-10.12,0.023,0
1.0,0,0,0,0,19.8,-24.15,0.023,0
0.0,0,1,0,0,27.2,-118.09,0.33,1
0.999,0,0,0,0,26.4,-16.93,0.143,0
1.0,0,0,0,0,44.5,-77.52,0.26,0
0.876,0,0,0,0,16.4,-104.51,0.26,0
1.0,0,0,0,0,21.2,-20.23,0.066,0
1.0,0,0,0,0,26.7,-9.47,0.066,0
1.0,0,0,0,0,30.0,-14.45,0.08,0
1.0,0,0,0,0,24.5,-6.6,0.049,0
0.999,0,0,0,0,32.1,-1.64,0.049,0
1.0,0,0,0,0,14.1,-194.78,0.375,0
1.0,0,0,0,0,20.1,-72.1,0.146,0
1.0,0,0,0,0,18.1,-21.98,0.291,0
0.985,0,0,0,0,47.3,-5.87,0.206,0
0.942,0,0,0,0,25.9,-3.87,0.202,0
0.0,0,1,1,0,44.4,-54.73,0.065,1
0.912,0,0,0,0,4.9,-7.34,0.064,0
1.0,0,0,0,0,17.4,-27.32,0.217,0
1.0,0,0,0,0,26.7,-9.37,0.122,0
0.998,0,0,0,0,91.7,-0.04,0.022,0
1.0,0,0,0,0,22.7,-12.63,0.051,0
1.0,0,0,0,0,35.5,-1.55,0.051,0
1.0,0,0,0,0,38.3,-4.08,0.051,0
0.996,0,0,0,0,66.7,-0.19,0.03,0
0.974,0,0,0,0,31.4,-2.57,0.136,0
0.994,0,0,0,0,44.1,-6.71,0.303,0
1.0,0,0,0,0,17.4,-28.62,0.124,0
0.959,0,0,0,0,5.4,-8.38,0.125,0
0.994,0,0,0,0,60.7,-5.39,0.124,0
0.0,0,0,0,0,38.1,-20.86,0.234,0
0.0,0,1,1,1,64.2,-12.92,0.059,1
1.0,0,0,0,0,11.8,-54.78,0.073,0
0.0,0,1,0,0,26.1,-46.15,0.161,1
1.0,0,0,0,0,14.3,-150.76,0.282,0
1.0,0,0,0,0,15.0,-49.59,0.115,0
1.0,0,0,0,0,23.5,-6.39,0.115,0
1.0,0,0,0,0,31.7,-16.68,0.115,0
1.0,0,0,0,0,38.4,-1.34,0.146,0
0.987,0,0,0,0,8.5,-1.38,0.125,0
0.0,0,1,1,0,28.6,-244.21,0.324,1
1.0,0,0,0,0,22.2,-4.92,0.104,0
0.983,0,0,0,0,23.9,-2.02,0.104,0
1.0,0,0,0,0,12.8,-36.35,0.104,0
1.0,0,0,0,0,10.4,-121.98,0.104,0
1.0,0,0,0,0,32.1,-2.76,0.052,0
1.0,0,0,0,0,17.6,-39.02,0.051,0
1.0,0,0,0,0,17.2,-4.93,0.029,0
1.0,0,0,0,0,18.5,-2.83,0.029,0
0.0,0,0,0,0,198.0,-16.72,0.174,0
0.573,0,1,0,0,14.0,-38.29,0.298,1
1.0,0,0,0,0,33.2,-2.41,0.044,0
1.0,0,0,0,0,17.2,-20.46,0.044,0
1.0,0,0,0,0,13.2,-122.22,0.184,0
1.0,0,0,0,0,14.1,-30.96,0.032,0
0.997,0,0,0,0,17.5,-9.44,0.032,0
1.0,0,0,0,0,17.9,-16.05,0.114,0
