Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Impact Parameter,Transit Duration Upper,Transit Duration Lower ,Planetary Radius Lower,Insolation Flux,TCE Delivery,Stellar Effective Temperature,Stellar Effective Temperature Lower,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius,Stellar Radius Lower,Kepler-band,Disposition Using Kepler Data
1.0,0,0,0,0,9.48803557,0.146,0.0819,-0.0819,-0.15,93.59,0.0,5455.0,-81.0,4.467,0.064,0.927,-0.061,15.347,0
0.969,0,0,0,0,54.4183827,0.586,0.116,-0.116,-0.19,9.11,0.0,5455.0,-81.0,4.467,0.064,0.927,-0.061,15.347,0
0.0,0,0,0,0,19.89913995,0.969,0.0341,-0.0341,-1.31,39.3,0.0,5853.0,-176.0,4.544,0.044,0.868,-0.078,15.436,0
0.0,0,1,0,0,1.736952453,1.276,0.00537,-0.00537,-2.83,891.96,0.0,5805.0,-174.0,4.564,0.053,0.791,-0.067,15.597,1
1.0,0,0,0,0,2.525591777,0.701,0.042,-0.042,-0.35,926.16,0.0,6031.0,-211.0,4.438,0.07,1.046,-0.133,15.509,0
1.0,0,0,0,0,11.09432054,0.538,0.061,-0.061,-0.42,114.81,0.0,6046.0,-232.0,4.486,0.054,0.972,-0.105,15.714,0
1.0,0,0,0,0,4.13443512,0.762,0.0673,-0.0673,-0.3,427.65,0.0,6046.0,-232.0,4.486,0.054,0.972,-0.105,15.714,0
0.992,0,0,0,0,2.56658897,0.755,0.165,-0.165,-0.17,807.74,0.0,6046.0,-232.0,4.486,0.054,0.972,-0.105,15.714,0
0.0,0,1,1,0,7.36178958,1.169,0.136,-0.136,-9.67,767.22,0.0,6227.0,-124.0,3.986,0.182,1.958,-0.483,12.66,1
1.0,0,0,0,0,16.06864674,0.052,0.0241,-0.0241,-0.49,30.75,0.0,5031.0,-83.0,4.485,0.083,0.848,-0.072,15.841,0
0.811,0,0,0,0,2.470613377,0.818,0.00107,-0.00107,-0.51,761.46,0.0,5820.0,-78.0,4.457,0.024,0.964,-0.038,11.338,0
1.0,0,1,0,0,2.204735417,0.224,0.00203,-0.00203,-0.91,4148.92,0.0,6440.0,-89.0,4.019,0.033,1.952,-0.11,10.463,0
0.998,0,0,0,0,3.522498429,0.631,0.00653,-0.00653,-1.11,1264.67,0.0,6225.0,-137.0,4.169,0.055,1.451,-0.11,13.563,0
1.0,0,0,0,0,3.709214104,0.051,0.0427,-0.0427,-0.12,500.46,0.0,5833.0,-117.0,4.407,0.085,1.022,-0.107,12.772,0
0.0,0,1,0,0,11.52144606,2.483,0.0114,-0.0114,-13.3,75.88,0.0,5795.0,-172.0,4.554,0.033,0.848,-0.075,15.472,1
0.0,0,1,0,0,19.40393776,0.804,0.0598,-0.0598,-0.68,17.69,0.0,5043.0,-151.0,4.591,0.072,0.68,-0.065,15.487,1
0.0,0,1,0,0,19.22138894,1.065,0.00235,-0.00235,-5.0,55.97,0.0,6117.0,-200.0,4.496,0.052,0.947,-0.096,15.341,1
0.0,0,1,0,0,16.46983774,0.292,0.06,-0.06,-0.89,29.61,0.0,5152.0,-153.0,4.517,0.088,0.786,-0.088,15.788,1
1.0,0,0,0,0,9.27358173,0.387,0.0309,-0.0309,-0.24,41.85,0.0,4856.0,-146.0,4.583,0.065,0.696,-0.068,15.302,0
1.0,0,0,0,0,6.02930329,0.258,0.0311,-0.0311,-0.15,50.04,0.0,4537.0,-123.0,4.648,0.02,0.672,-0.036,15.784,0
