Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Transit Duration Upper,Transit Depth,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,9.48803557,0.0819,616.0,5455.0,4.467,0.064,0.105,0
0.969,0,0,0,0,54.4183827,0.116,875.0,5455.0,4.467,0.064,0.105,0
0.0,0,0,0,0,19.89913995,0.0341,10800.0,5853.0,4.544,0.044,0.233,0
0.0,0,1,0,0,1.736952453,0.00537,8080.0,5805.0,4.564,0.053,0.201,1
1.0,0,0,0,0,2.525591777,0.042,603.0,6031.0,4.438,0.07,0.334,0
1.0,0,0,0,0,11.09432054,0.061,1520.0,6046.0,4.486,0.054,0.315,0
1.0,0,0,0,0,4.13443512,0.0673,686.0,6046.0,4.486,0.054,0.315,0
0.992,0,0,0,0,2.56658897,0.165,227.0,6046.0,4.486,0.054,0.315,0
0.0,0,1,1,0,7.36178958,0.136,234.0,6227.0,3.986,0.182,0.322,1
1.0,0,0,0,0,16.06864674,0.0241,4910.0,5031.0,4.485,0.083,0.033,0
0.811,0,0,0,0,2.470613377,0.00107,14200.0,5820.0,4.457,0.024,0.038,0
1.0,0,1,0,0,2.204735417,0.00203,6670.0,6440.0,4.019,0.033,0.099,0
0.998,0,0,0,0,3.522498429,0.00653,9150.0,6225.0,4.169,0.055,0.11,0
1.0,0,0,0,0,3.709214104,0.0427,131.0,5833.0,4.407,0.085,0.143,0
0.0,0,1,0,0,11.52144606,0.0114,18000.0,5795.0,4.554,0.033,0.224,1
0.0,0,1,0,0,19.40393776,0.0598,8920.0,5043.0,4.591,0.072,0.072,1
0.0,0,1,0,0,19.22138894,0.00235,74300.0,6117.0,4.496,0.052,0.308,1
0.0,0,1,0,0,16.46983774,0.06,10500.0,5152.0,4.517,0.088,0.088,1
1.0,0,0,0,0,9.27358173,0.0309,1290.0,4856.0,4.583,0.065,0.056,0
1.0,0,0,0,0,6.02930329,0.0311,1910.0,4537.0,4.648,0.02,0.062,0
0.0,0,1,1,1,2.696370652,0.0686,398.0,4989.0,4.504,0.09,0.067,1
1.0,0,0,0,0,5.349553819,0.0471,831.0,5185.0,4.44,0.098,0.057,0
0.98,0,0,0,0,3.94105221,0.0737,363.0,5185.0,4.44,0.098,0.057,0
0.971,0,0,0,0,8.10904807,0.198,217.0,5185.0,4.44,0.098,0.057,0
0.5294527603540793,0,1,0,0,386.6030528,0.0184,24900.0,5543.0,4.081,0.014,0.064,1
1.0,0,0,0,0,21.67699193,0.0656,857.0,4954.0,4.5,0.075,0.032,0
1.0,0,0,0,0,4.99677968,0.0762,935.0,5339.0,4.552,0.034,0.161,0
1.0,0,0,0,0,4.280963604,0.042,751.0,5644.0,4.564,0.032,0.207,0
0.0,0,0,1,0,1.50635409,0.0483,2210.0,5714.0,4.563,0.04,0.186,1
0.0,0,1,1,0,670.645531,0.131,18100.0,5520.0,4.466,0.032,0.148,1
0.0,0,1,0,0,61.2563628,0.105,5120.0,6144.0,4.402,0.072,0.35,1
1.0,0,0,0,0,38.3775486,0.113,724.0,5481.0,4.369,0.121,0.138,0
0.992,0,0,0,0,41.19725502,0.0633,2210.0,5031.0,4.485,0.083,0.033,0
1.0,0,0,0,0,6.252962249,0.0426,1040.0,5031.0,4.485,0.083,0.033,0
1.0,0,0,0,0,16.01308419,0.0791,1120.0,5015.0,4.499,0.092,0.091,0
