,Galaxy,RA,Dec,Type,BT,Ai,v,ɛ,classes,MainClass,SubClass,Class,ClassInt
0,-1.0,-3.0,-4.0,-9.0,-12.0,-14.0,-17.0,-18.0,,-9.0,irrelevant,Irrelevant,-1
1,F703,15 11 00,-15 16.7,S S5 2.2,-12.41,0.34,2270.0,15.0,Sx,S,S5,Spiral,0
2,HA72,13 57 39,-45 10.6,S S5 2.5,-12.83,0.38,1456.0,50.0,Sx,S,S5,Spiral,0
3,HA85-1,05 09 25,-14 51.0,S S5 2.0,-12.69,0.35,2140.0,165.0,Sx,S,S5,Spiral,0
4,HA85-2,18 52 53,-54 36.9,E 3,12.65,0.0,2761.0,113.0,E3,E,3,Elliptical,1
5,IC1459,22 54 23,-36 43.8,E 4,10.96,0.0,1628.0,36.0,E4,E,4,Elliptical,1
6,IC1783,02 07 57,-33 10.5,S T4 2.0,-13.1,0.46,3299.0,78.0,Sx,S,T4,Spiral,0
7,IC1788,02 13 39,-31 26.0,S S4 2.0U,13.1,0.57,3388.0,50.0,Sx,S,S4,Spiral,0
8,IC1933,03 24 15,-52 57.5,SB S5 2.5,-13.01,0.46,1063.0,98.0,SBx,SB,S5,Spiral,0
9,IC1953,03 31 29,-21 38.6,SB T4 2.0,-12.28,0.36,1884.0,20.0,SBx,SB,T4,Spiral,0
10,IC1954,03 30 06,-52 04.4,S S5 2.2,12.05,0.53,1054.0,67.0,Sx,S,S5,Spiral,0
11,IC2006,03 52 37,-36 06.9,E 1,12.27,0.0,1383.0,86.0,E1,E,1,Elliptical,1
12,IC2035,04 07 29,-45 38.8,LB14 P,12.18,0.0,1458.0,100.0,S0,LB14,P,Spiral,0
13,IC2056,04 15 39,-60 20.0,S S5 2.0,12.19,0.33,1129.0,103.0,Sx,S,S5,Spiral,0
14,IC2522,09 52 59,-32 54.0,SX S5 1.5,-12.72,0.47,2988.0,15.0,Sx,SX,S5,Spiral,0
15,IC2537,10 01 35,-27 19.5,S S5 1.5,12.9,0.4,2800.0,50.0,Sx,S,S5,Spiral,0
16,IC2627,11 07 26,-23 27.3,S R5 1.5,12.6,0.3,2076.0,15.0,Sx,S,R5,Spiral,0
17,IC2995,12 03 13,-27 39.7,S S5 3.0,-12.68,0.65,1840.0,15.0,Sx,S,S5,Spiral,0
18,IC3253,12 21 07,-34 20.7,S S5 2.5,12.42,0.55,2864.0,59.0,Sx,S,S5,Spiral,0
